,idx,parameter,ac1,ac2
131,131,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23825,0.46063
132,132,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.23333,0.45587
133,133,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.23683,0.45794
134,134,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23190,0.45540
135,135,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.23778,0.45810
136,136,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.22984,0.45730
137,137,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.21524,0.45905
138,138,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.24048,0.45508
139,139,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.24619,0.45762
140,140,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.24444,0.45651
141,141,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.23190,0.45810
142,142,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.23159,0.45651
143,143,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.22508,0.45794
144,144,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24000,0.44794
145,145,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.24079,0.45746
146,146,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.24206,0.45159
147,147,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.24222,0.45825
148,148,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.23794,0.45222
149,149,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.22683,0.45984
